Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
2568.7	723.3	0.6	0.3022
3100.5	873.18	0.8	0.1823
3539.2	996.29	0.6	0.27
3568.6	1004.76	0.5	0.77
4527	1274.429	0.3	0.424
