Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
2249.2	723.3	0.5	0.3022
2715.1	873.18	0.9	0.1823
3099.4	996.29	0.3	0.27
3125.3	1004.76	0.24	0.77
3965.94	1274.429	0.16	0.424
