Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
866.3	247.929	0.3	0.0007
2526.87	723.3	0.18	0.3022
3049.72	873.18	0.2	0.1823
3480.79	996.29	0.24	0.27
3510.49	1004.76	0.2	0.77
4453.48	1274.429	0.1	0.424
