Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
2430.6	723.3	0.3	0.3022
2934.5	873.18	0.7	0.1823
3347.63 996.29    0.24    0.27
3376.33	1004.76	0.19	0.77
4283.18	1274.429	0.16	0.424
