Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
2627.89	723.3	0.23	0.3022
3174.7	873.18	0.3	0.1823
3623.3	996.29	0.4	0.27
3654	1004.76	0.3	0.77
4635.27	1274.429	0.23	0.424
