Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
2495	723.3	0.7	0.3022
3012	873.18	0.3	0.1823
3436.9	996.29	0.3	0.27
3465.61	1004.76	0.24	0.77
4399.54	1274.429	0.15	0.424
