Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
2489.59	723.3	0.15	0.3022
3006.41	873.18	0.23	0.1823
3430.04	996.29	0.18	0.27
3459.21	1004.76	0.14	0.77
4387.48	1274.429	0.22	0.424
