Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
1269.1	247.929	0.4	0.0007
3705.1	723.3	0.6	0.3022
4472.2	873.18	0.5	0.1823
5101.8	996.29	0.5	0.27
5145.6	1004.76	0.4	0.77
6525.7	1274.429	0.3	0.424
