Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
2449.72	723.3	0.21	0.3022
2957.2	873.18	0.3	0.1823
3374.5	996.29	0.4	0.27
3403.2	1004.76	0.3	0.77
4319	1274.429	0.22	0.424
