Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
2487.2	723.3	0.6	0.3022
3002.7	873.18	0.5	0.1823
3426.3	996.29	0.8	0.27
3456	1004.76	0.6	0.77
4384	1274.429	0.25	0.424
