Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
878.4	247.929	0.5	0.0007
2559.2	723.3	0.3	0.3022
3089.35	873.18	0.1	0.1823
3524.51	996.29	0.23	0.27
3554.42	1004.76	0.18	0.77
4508.29	1274.429	0.07	0.424
