Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
2696.4	723.3	0.8	0.3022
3255.2	873.18	0.8	0.1823
3714.1	996.29	0.7	0.27
3745.5	1004.76	0.6	0.77
4751.08	1274.429	0.18	0.424
