Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
845.34	247.929	0.16	0.0007
2464.85	723.3	0.09	0.3022
2976.09	873.18	0.19	0.1823
3395.79	996.29	0.16	0.27
3424.5	1004.76	0.13	0.77
4343.58	1274.429	0.09	0.424
