Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
222.54	123.0706	0.14	0.0709
449.7	247.929	0.3	0.0007
1313.5	723.3	0.5	0.3022
1587.56	873.18	0.08	0.1823
1811.4	996.29	0.3	0.27
1826.3	1004.76	0.3	0.77
2317.83	1274.429	0.06	0.424
