Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
416.63	123.0706	0.04	0.0709
839.04	247.929	0.11	0.0007
2449.5	723.3	0.7	0.3022
2956.9	873.18	0.4	0.1823
3375.07	996.29	0.14	0.27
3403.61	1004.76	0.11	0.77
4319.16	1274.429	0.09	0.424
