Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
2251	723.3	0.4	0.3022
2717.8	873.18	0.4	0.1823
3100.5	996.29	0.3	0.27
3127.1	1004.76	0.3	0.77
3968.3	1274.429	0.7	0.424
