Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
218.04	123.0706	0.04	0.0709
439.77	247.929	0.12	0.0007
1284.42	723.3	0.04	0.3022
1550.61	873.18	0.09	0.1823
1769.53	996.29	0.09	0.27
1784.53	1004.76	0.07	0.77
2263.85	1274.429	0.05	0.424
