Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
457.7	123.0706	0.3	0.0709
924.2	247.929	0.15	0.0007
2696.2	723.3	0.7	0.3022
3255.9	873.18	0.4	0.1823
3714.98	996.29	0.18	0.27
3746.75	1004.76	0.15	0.77
4752.42	1274.429	0.08	0.424
