Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
211.543	123.0706	0.011	0.0709
426.94	247.929		0.04	0.0007
1244.97	723.3		0.03	0.3022
1503.63	873.18		0.04	0.1823
1715.48	996.29		0.04	0.27
1730.02	1004.76		0.03	0.77
2194.34	1274.429	0.03	0.424
			
			
			
			
			
			

