Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
217.1	123.0706	0.22	0.0709
438.807	247.929	0.025	0.0007
1279.742	723.3	0.018	0.3022
1544.839	873.18	0.024	0.1823
1762.42	996.29	0.04	0.27
1777.44	1004.76	0.04	0.77
2254.356	1274.429	0.015	0.424
			
			
			
			
			
			
Peak Energy(kev)	Calibrated E	Residual	
123.0706	122.8	-0.2706	
247.929	247.9	-0.029	
591.755	591.5	-0.255	
723.3	723.3	0	
873.18	873.1	-0.08	
996.29	996.2	-0.09	
1004.76	1004.7	-0.06	
1274.429	1274.3	-0.129	
