Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
210.99	123.0706	0.021	0.0709
426.78	247.929	0.13	0.0007
1247.623	723.3	0.024	0.3022
1506.08	873.18	0.05	0.1823
1718.56	996.29	0.07	0.27
1733.12	1004.76	0.06	0.77
2200.09	1274.429	0.03	0.424
