Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
214.292	123.0706	0.008	0.0709
432.58	247.929	0.04	0.0007
1263.1	723.3	0.23	0.3022
1525.11	873.18	0.05	0.1823
1740.74	996.29	0.07	0.27
1755.54	1004.76	0.06	0.77
2227.088	1274.429	0.023	0.424
