Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
210.52	123.0706	0.17	0.0709
425.91	247.929		0.1	0.0007
1242.98	723.3		0.12	0.3022
1501.52	873.18		0.17	0.1823
1713.6	996.29		0.4	0.27
2192.2	1274.429	0.06	0.424
