Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
212.883	123.0706	0.015	0.0709
429.2	247.929	0.08	0.0007
1252.16	723.3	0.05	0.3022
1511.78	873.18	0.23	0.1823
1724.95	996.29	0.06	0.27
1739.52	1004.76	0.05	0.77
2206.4	1274.429	0.04	0.424
