Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
314.88	123.0706	0.03	0.0709
634.91	247.929	0.09	0.0007
1515.21	591.755	0.15	0.003
1852.74	723.3	0.06	0.3022
2236.51	873.18	0.09	0.1823
2551.3	996.29	0.12	0.27
2573.15	1004.76	0.1	0.77
3263.58	1274.429	0.06	0.424
