Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
823.3	247.929	0.3	0.0007
1965.4	591.755	0.4	0.003
2400.4	723.3	0.9	0.3022
2900.14	873.18	0.18	0.1823
3309.21	996.29	0.14	0.27
3337.19	1004.76	0.11	0.77
4232.7	1274.429	0.16	0.424
