Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
843.3	247.929	0.3	0.0007
2011.3	591.755	0.7	0.003
2457.7	723.3	0.8	0.3022
2968.62	873.18	0.14	0.1823
3387.16	996.29	0.24	0.27
3415.9	1004.76	0.21	0.77
4332.77	1274.429	0.08	0.424
