Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
1930.5	591.755	0.5	0.003
2359.71	723.3	0.08	0.3022
2848.89	873.18	0.11	0.1823
3250.82	996.29	0.2	0.27
3278.65	1004.76	0.15	0.77
4159.3	1274.429	0.09	0.424
