Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
861.3	247.929	0.3	0.0007
2058.39	591.755	0.24	0.003
2515.1	723.3	0.3	0.3022
3036.53	873.18	0.14	0.1823
3465.25	996.29	0.13	0.27
3495.07	1004.76	0.1	0.77
4433.75	1274.429	0.09	0.424
