Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
874.58	247.929	0.24	0.0007
2084.8	591.755	0.21	0.003
2549.74	723.3	0.09	0.3022
3078.1	873.18	0.3	0.1823
3511.1	996.29	0.7	0.27
3540.9	1004.76	0.7	0.77
4491.1	1274.429	0.09	0.424
