Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
2478.3	723.3	0.4	0.3022
2993.7	873.18	0.6	0.1823
3415	996.29	5	0.27
3444	1004.76	4	0.77
4370.5	1274.429	0.3	0.424
