Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
850.1	247.929	0.6	0.0007
2027.9	591.755	0.4	0.003
2478.23	723.3	0.11	0.3022
2993.04	873.18	0.16	0.1823
3415.02	996.29	0.14	0.27
3444.06	1004.76	0.1	0.77
4368.25	1274.429	0.09	0.424
