Centroid	Peak Energy(kev)	uncertainity of Ch No	Uncertainity of Energy
1930.5	591.755	0.5	0.003
2359.71	723.3	0.08	0.3022
2848.89	873.18	0.11	0.1823
3250.82	996.29	0.2	0.27
3278.65	1004.76	0.15	0.77
4159.3	1274.429	0.09	0.424
			
			
			
			
Peak Energy(kev)	Calibrated E	Residual	
123.0706			
247.929			
591.755	591.6	-0.155	
723.3	723.1	-0.2	
873.18	873.3	0.12	
996.29	996.3	0.01	
1004.76	1004.9	0.14	
1274.429	1274.6	0.171	
